,name,personality_type,I,N,T,P,F,J,S,E
30,Power Noise,INTJ,100,100,100,-1,-1,100,-1,-1
31,Pop Rap,ESTP,-1,-1,50,100,-1,-1,88,100
32,Lowercase,INTP,100,100,100,100,-1,-1,-1,-1
33,Alternative Dance,ENFP,-1,100,-1,100,75,-1,-1,100
34,Freeform Hardcore,ENTP,-1,100,100,100,-1,-1,-1,100
35,Cowpunk,ENTP,-1,100,75,100,-1,-1,-1,100
36,EAI,INTP,100,100,100,100,-1,-1,-1,-1
37,Raptor House,ESFP,-1,-1,-1,100,100,-1,100,100
38,Proto-punk,ISTP,100,-1,100,100,-1,-1,100,-1
39,Boogie-woogie,ENFJ,-1,100,-1,-1,100,100,-1,100
40,Thrashcore,ESTP,-1,-1,100,100,-1,-1,100,100
41,Hypertone,INTP,75,75,100,100,-1,-1,-1,-1
42,Celtic punk,ENTP,-1,100,100,100,-1,-1,-1,100
43,New rave,ENFP,-1,100,-1,100,100,-1,-1,100
44,Freakbeat,ISFP,100,-1,-1,100,100,-1,100,-1
45,Anti-folk,INFP,100,83,-1,100,67,-1,-1,-1
46,Yacht rock,ISFP,100,-1,-1,100,100,-1,100,-1
47,Motown (music style),ENFP,-1,100,-1,100,100,-1,-1,100
48,Hip hop soul,ISFP,75,-1,-1,100,100,-1,100,-1
49,Gypsy punk,ENTP,-1,100,100,100,-1,-1,-1,100
50,West Coast hip hop,ESTP,-1,-1,100,100,-1,-1,100,100
51,Crossover thrash,ENTP,-1,80,100,100,-1,-1,-1,100
52,Garage punk,ISTP,80,-1,70,100,-1,-1,100,-1
53,Truck-driving country,ISTP,100,-1,100,100,-1,-1,100,-1
54,Ragga (Raggamuffin),ENFJ,-1,100,-1,-1,100,67,-1,100
55,Rocksteady,ESFP,-1,-1,-1,100,100,-1,100,100
56,Hard bop,INTP,100,100,100,100,-1,-1,-1,-1
57,Samba-jazz,ENTP,-1,67,67,100,-1,-1,-1,33
58,Rumba,ESFP,-1,-1,-1,100,100,-1,100,100
59,Forró,ESFP,-1,-1,-1,100,100,-1,100,100
60,Frevo,ENFP,-1,50,-1,100,100,-1,-1,100
61,Maracatu,ENFJ,-1,100,-1,-1,100,100,-1,100
62,Chillstep,ISFP,100,-1,-1,100,80,-1,60,-1
63,Showtunes,ENFP,-1,75,-1,100,100,-1,-1,100
64,Synthpunk,ENTP,-1,100,100,100,-1,-1,-1,100
65,Chamber Pop,ENTP,-1,50,50,50,-1,-1,-1,50
66,Power Pop,INFP,57,86,-1,100,100,-1,-1,-1
67,Hexd (SoundCloud Scene),INTP,100,100,75,100,-1,-1,-1,-1
68,Jungle Terror,ISTP,100,-1,100,100,-1,-1,100,-1
69,Frenchcore,ENTP,-1,100,50,100,-1,-1,-1,83
70,Gothic Country,INFP,100,100,-1,100,100,-1,-1,-1
71,Gamelan,ISTP,100,-1,67,100,-1,-1,67,-1
72,Canción melódica,ESFJ,-1,-1,-1,-1,100,100,100,100
73,Dub,ENFP,-1,100,-1,100,67,-1,-1,67
74,Calypso,ESFP,-1,-1,-1,100,100,-1,67,100
75,UK Garage,ENTP,-1,67,67,100,-1,-1,-1,67
76,Future Riddim,ENFP,-1,100,-1,100,100,-1,-1,80
77,Makina,ENFP,-1,100,-1,100,100,-1,-1,100
78,Adult Contemporary,ISFJ,75,-1,-1,-1,100,100,100,-1
79,Complextro,ENTP,-1,100,100,100,-1,-1,-1,75
80,Post-Horrorcore,INTP,100,100,100,100,-1,-1,-1,-1
81,Joropo,ESFP,-1,-1,-1,75,100,-1,75,100
82,Terrorcore,ENTP,-1,100,100,83,-1,-1,-1,100
83,Suomisaundi,INTP,100,100,100,100,-1,-1,-1,-1
84,Schranz,ISTP,100,-1,100,100,-1,-1,100,-1
85,Galant,ISFJ,100,-1,-1,-1,100,100,100,-1
86,Minimalism,INTP,100,100,91,82,-1,-1,-1,-1
87,Ragtime,ENTP,-1,100,100,100,-1,-1,-1,100
88,Impressionism,ISFJ,100,-1,-1,-1,100,50,100,-1
89,Field Recordings,INTP,100,83,100,83,-1,-1,-1,-1
90,Oi!,ESTP,-1,-1,100,80,-1,-1,100,100
91,Avant-punk,INTP,90,100,100,90,-1,-1,-1,-1
92,Funk Metal,ENTP,-1,100,100,100,-1,-1,-1,100
93,World Music,ESFP,-1,-1,-1,100,100,-1,100,100
94,Electropop,ESFP,-1,-1,-1,83,83,-1,83,83
95,Psycore,ENTP,-1,100,100,67,-1,-1,-1,100
96,Xote,ESFJ,-1,-1,-1,-1,100,50,100,75
97,Deathgrind,ISTP,100,-1,100,100,-1,-1,100,-1
98,EBSM,INTJ,100,50,100,-1,-1,50,-1,-1
99,Extratone,ISTP,75,-1,100,75,-1,-1,100,-1
100,Neurofunk,ISTP,89,-1,89,78,-1,-1,56,-1
101,Signalwave,INTP,100,100,100,100,-1,-1,-1,-1
102,New Jack Swing,ESFP,-1,-1,-1,100,100,-1,100,100
103,Heartland,INFJ,100,100,-1,-1,100,100,-1,-1
104,Post-Britpop,ISFP,100,-1,-1,100,100,-1,100,-1
105,Schlager,ESTJ,-1,-1,62,-1,-1,100,88,62
106,Skweee,INTP,100,100,100,100,-1,-1,-1,-1
107,Folktronica,INFP,100,100,-1,100,100,-1,-1,-1
108,Surf,ESFP,-1,-1,-1,100,83,-1,58,92
109,Gabber,ENTP,-1,92,92,100,-1,-1,-1,75
110,Symphonic Rock,INFJ,100,100,-1,-1,100,100,-1,-1
111,Neue Deutsche Härte,ENTP,-1,67,67,89,-1,-1,-1,56
112,Gregorian Chant,INFJ,76,76,-1,-1,76,82,-1,-1
113,Viking Metal,ENTJ,-1,89,89,-1,-1,79,-1,63
114,Cybergrind,ENTP,-1,100,100,100,-1,-1,-1,86
115,Neoclassical Metal,INTJ,71,100,79,-1,-1,93,-1,-1
116,Pirate Metal,ENTP,-1,100,100,100,-1,-1,-1,100
